rule_id,test_id,priority,module,entrypoint_job,service,postgres_target,test_level,test_file,test_title,source_scenario,expected,spec_status,implementation_status
LOT-IAM-003,TST-IAM-003,P0,client,Suite de operaciones de Cliente por estado,ClientAuthorizationPolicy,"users.status, wallets, conversion_requests, purchase_orders, virtual_transfers",API-E2E,apps/api/test/rules/iam/lot-iam-003.e2e-spec.ts,[LOT-IAM-003] Ejecutar cada operación con Cliente activo y luego suspendido.,Ejecutar cada operación con Cliente activo y luego suspendido.,El activo opera dentro de reglas; el suspendido recibe rechazo sin efectos.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-IAM-004,TST-IAM-004,P0,official-purchases,Command: ConfirmOfficialPurchase con Vendedor,OfficialParticipationPolicy,"restricción de autorización antes de combination_reservations, purchase_orders, ledger y tickets",API-E2E + PG,apps/api/test/postgres/rules/iam/lot-iam-004.pg-spec.ts,[LOT-IAM-004] Intentar comprar con una sesión de Vendedor.,Intentar comprar con una sesión de Vendedor.,"La API responde FORBIDDEN y no crea reserva, orden, asiento ni boleto.",DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-IAM-005,TST-IAM-005,P0,admin / authorization,Comandos administrativos reforzados,AdminAuthorizationService,"permissions, role_permissions, user_permission_grants, audit_events, security_events",API-E2E + PG,apps/api/test/postgres/rules/iam/lot-iam-005.pg-spec.ts,[LOT-IAM-005] Administrador sin permiso intenta aportar fondos o resolver reclamo.,Administrador sin permiso intenta aportar fondos o resolver reclamo.,La acción se rechaza y se registra el intento de seguridad cuando corresponda.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-IAM-006,TST-IAM-006,P0,auth / routing,Acceso directo a contrato administrativo,GlobalAuthorizationGuard,sin cambios en recursos; sessions.active_mode permanece autoritativo,SECURITY-E2E,apps/api/test/security/rules/lot-iam-006.e2e-spec.ts,[LOT-IAM-006] Abrir manualmente una ruta administrativa con sesión de Cliente.,Abrir manualmente una ruta administrativa con sesión de Cliente.,No se expone información ni se ejecuta la acción.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-IAM-007,TST-IAM-007,P0,identity,Command: RegisterUser,RegistrationService,"users(email,username), user_profiles(document_hash), terms_versions, terms_acceptances; UNIQUE y mayoría de edad",API-E2E + PG,apps/api/test/postgres/rules/iam/lot-iam-007.pg-spec.ts,[LOT-IAM-007] Registrar dos cuentas con el mismo documento o sin aceptación.,Registrar dos cuentas con el mismo documento o sin aceptación.,Solo la primera válida se crea; las demás se rechazan con error específico.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-IAM-008,TST-IAM-008,P0,identity,Operaciones nuevas con cada account_status,AccountStatePolicy,users.status CHECK/enum y guardia común,API-E2E + PG,apps/api/test/postgres/rules/iam/lot-iam-008.pg-spec.ts,"[LOT-IAM-008] Intentar comprar, convertir o crear sorteo con cada estado.","Intentar comprar, convertir o crear sorteo con cada estado.",Solo ACTIVO puede comenzar la operación; el historial sigue consultable según permisos.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-IAM-009,TST-IAM-009,P0,identity / retention,Command: DeactivateOrAnonymizeUser,AccountRetentionService,users.status/deactivated_at; FKs RESTRICT; ledger/tickets/user_draws/claims conservados,PG-INTEGRATION,apps/api/test/postgres/rules/iam/lot-iam-009.pg-spec.ts,[LOT-IAM-009] Solicitar eliminación de un usuario con asientos y boletos.,Solicitar eliminación de un usuario con asientos y boletos.,Los registros históricos permanecen íntegros y la cuenta deja de operar.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-FIN-001,TST-FIN-001,P0,ledger,PostLedgerTransaction con monedas cruzadas,LedgerPostingService,"wallets.currency, ledger_accounts.currency, ledger_entries.currency y trigger de balance por unidad",PG-INTEGRATION,apps/api/test/postgres/rules/fin/lot-fin-001.pg-spec.ts,[LOT-FIN-001] Intentar balancear un débito REAL con un crédito VIRTUAL.,Intentar balancear un débito REAL con un crédito VIRTUAL.,La transacción contable se rechaza.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-FIN-002,TST-FIN-002,P0,official-finance,Crear boleto/premio con cuenta REAL,OfficialCurrencyPolicy,"event_financial_configs, tickets, prize_awards y ledger_accounts deben usar VIRTUAL",API-E2E + PG,apps/api/test/postgres/rules/fin/lot-fin-002.pg-spec.ts,[LOT-FIN-002] Crear boleto o premio en REAL.,Crear boleto o premio en REAL.,La operación se rechaza antes de generar asientos.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-FIN-003,TST-FIN-003,P0,transfers,Command: TransferRealBetweenUsers,TransferPolicy,no existe flujo de virtual_transfers con REAL; ledger no se crea,API-E2E,apps/api/test/rules/fin/lot-fin-003.e2e-spec.ts,[LOT-FIN-003] Intentar una transferencia REAL directa entre clientes.,Intentar una transferencia REAL directa entre clientes.,La API la rechaza y sugiere el flujo permitido sin mover saldo.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-FIN-004,TST-FIN-004,P0,user-draw-finance,Command: BuyUserDrawParticipation usando REAL,UserDrawPaymentService,"user_draw_participations, user_draw_escrows y cuentas ledger solo VIRTUAL",API-E2E + PG,apps/api/test/postgres/rules/fin/lot-fin-004.pg-spec.ts,[LOT-FIN-004] Intentar pagar participación de sorteo de usuario con REAL.,Intentar pagar participación de sorteo de usuario con REAL.,La operación se rechaza sin reservar ni mover saldo.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-FIN-005,TST-FIN-005,P0,ledger,Insertar/cerrar transacción desbalanceada,LedgerPostingService,trigger/procedimiento diferido ledger_balanced por ledger_transaction_id y currency,PG-INTEGRATION,apps/api/test/postgres/rules/fin/lot-fin-005.pg-spec.ts,[LOT-FIN-005] Insertar una transacción desbalanceada.,Insertar una transacción desbalanceada.,No puede confirmarse.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-FIN-006,TST-FIN-006,P0,wallets,Job: ledger-reconcile,WalletReconciliationService,wallet_balance_projections reconstruidas desde ledger_entries sin nueva transacción,WORKER-PG,apps/worker/test/rules/fin/lot-fin-006.e2e-spec.ts,[LOT-FIN-006] Dañar intencionalmente una proyección y ejecutar reconciliación.,Dañar intencionalmente una proyección y ejecutar reconciliación.,La proyección se corrige desde el libro sin crear un nuevo movimiento.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-FIN-007,TST-FIN-007,P0,ledger / balances,Dos débitos concurrentes sobre el mismo disponible,BalanceGuard,"locks PostgreSQL, proyección/cuentas y validación de saldo; no negativos no autorizados",PG-CONCURRENCY,apps/api/test/postgres/concurrency/lot-fin-007.pg-spec.ts,[LOT-FIN-007] Ejecutar dos débitos simultáneos que superan el disponible.,Ejecutar dos débitos simultáneos que superan el disponible.,Solo uno se confirma o ambos se rechazan; nunca queda saldo no autorizado negativo.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-FIN-008,TST-FIN-008,P0,topups,Command: ConfirmSimulatedTopup,TopupService,"real_topups, idempotency_keys, ledger_transaction y asientos REAL 1:1",API-E2E + PG,apps/api/test/postgres/rules/fin/lot-fin-008.pg-spec.ts,"[LOT-FIN-008] Simular recarga de 100,00.","Simular recarga de 100,00.","Se acreditan 100,00 REAL y comisión 0,00.",DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-FIN-009,TST-FIN-009,P0,conversions,Command: ConvertVirtualToReal,VirtualToRealConversionService,"virtual_to_real_conversions, fee_rate_bps, ledger REAL/VIRTUAL y cuentas de comisión",UNIT-MONEY + PG,packages/money/src/__tests__/rules/lot-fin-009.spec.ts,"[LOT-FIN-009] Convertir 500,00 VIRTUAL.","Convertir 500,00 VIRTUAL.","Se debitan 500,00 VIRTUAL, se acreditan 450,00 REAL y 50,00 se registran como comisión.",DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-FIN-010,TST-FIN-010,P0,withdrawals,Command: Request/CompleteWithdrawal,WithdrawalService,withdrawal_requests y ledger sin segundo asiento de comisión,API-E2E + PG,apps/api/test/postgres/rules/fin/lot-fin-010.pg-spec.ts,[LOT-FIN-010] Solicitar retiro de REAL ya convertido.,Solicitar retiro de REAL ya convertido.,El retiro no descuenta otra comisión de negocio.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-FIN-011,TST-FIN-011,P0,transfers,Command: TransferVirtual,VirtualTransferService,"virtual_transfers, usuarios activos, sender<>recipient y ledger VIRTUAL",API-E2E + PG,apps/api/test/postgres/rules/fin/lot-fin-011.pg-spec.ts,[LOT-FIN-011] Transferir a sí mismo y transferir a otro Cliente activo.,Transferir a sí mismo y transferir a otro Cliente activo.,La primera se rechaza; la segunda crea movimientos simétricos y comprobante.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-FIN-012,TST-FIN-012,P0,ledger / traceability,Suite de operaciones financieras confirmadas,FinancialTraceabilityService,FK ledger_transaction_id/idempotency/correlation en cada agregado financiero,PG-INTEGRATION,apps/api/test/postgres/rules/fin/lot-fin-012.pg-spec.ts,[LOT-FIN-012] Confirmar cada tipo de operación y buscar su evidencia contable.,Confirmar cada tipo de operación y buscar su evidencia contable.,Cada operación tiene asientos balanceados y correlación trazable.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-FIN-013,TST-FIN-013,P0,packages/money,Suite property-based de reparto de minor units,LargestRemainderAllocator,tasas versionadas y montos *_minor; compra mayorista en múltiplos de 100 minor units VIRTUAL,UNIT-PROPERTY + PG,packages/money/src/__tests__/rules/lot-fin-013.spec.ts,"[LOT-FIN-013] Probar importes de 0,01 a 10,00, empates de residuos, reparto 50/25/15/10 y una compra mayorista no múltiplo de 1,00.","Probar importes de 0,01 a 10,00, empates de residuos, reparto 50/25/15/10 y una compra mayorista no múltiplo de 1,00.","Ninguna minor unit se crea, desaparece o asigna de forma ambigua; los repartos suman exactamente el monto base y la orden mayorista inválida se rechaza.",DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-VND-001,TST-VND-001,P0,vendors / inventory,Command: PurchaseVendorInventory,VendorInventoryPurchaseService,"vendor_purchase_orders, vendor_inventory_batches, ledger y tasa 90/100",API-E2E + PG,apps/api/test/postgres/rules/vnd/lot-vnd-001.pg-spec.ts,"[LOT-VND-001] Comprar 100,00 VIRTUAL con saldo suficiente.","Comprar 100,00 VIRTUAL con saldo suficiente.","Se debitan 90,00 REAL y se acreditan 100,00 VIRTUAL una sola vez.",DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-VND-002,TST-VND-002,P0,vendors / profitability,Query: VendorMetrics antes/después de venta,VendorProfitService,"vendor_inventory_batches, vendor_sales, vendor_sale_batch_allocations",PG-INTEGRATION,apps/api/test/postgres/rules/vnd/lot-vnd-002.pg-spec.ts,[LOT-VND-002] Comprar inventario y revisar métricas antes y después de una venta.,Comprar inventario y revisar métricas antes y después de una venta.,"Antes de vender la ganancia realizada es 0; después refleja 0,10 por cada 1,00 vendido.",DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-VND-003,TST-VND-003,P0,conversion-requests,Command: CreateConversionRequest,ConversionRequestService,conversion_requests y reserva REAL en ledger; no crédito VIRTUAL inmediato,API-E2E + PG,apps/api/test/postgres/rules/vnd/lot-vnd-003.pg-spec.ts,[LOT-VND-003] Crear solicitud con saldo suficiente e insuficiente.,Crear solicitud con saldo suficiente e insuficiente.,La válida reserva exactamente el monto; la insuficiente no crea solicitud ni reserva.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-VND-004,TST-VND-004,P0,conversion-requests,Query: ListEligibleRequests,ConversionRequestVisibilityPolicy,"vendor_profiles, wallet projections, related_account_flags y estado PENDIENTE",API-E2E + PG,apps/api/test/postgres/rules/vnd/lot-vnd-004.pg-spec.ts,"[LOT-VND-004] Comparar visibilidad para vendedor solvente, insolvente, inactivo y relacionado.","Comparar visibilidad para vendedor solvente, insolvente, inactivo y relacionado.","Solo el vendedor solvente, activo y no relacionado la recibe.",DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-VND-005,TST-VND-005,P0,conversion-requests,Command: AssignRequest por dos vendedores,ConversionAssignmentService,conversion_assignments con índice único parcial ACTIVA + SELECT FOR UPDATE,PG-CONCURRENCY,apps/api/test/postgres/concurrency/lot-vnd-005.pg-spec.ts,[LOT-VND-005] Dos vendedores toman simultáneamente la misma solicitud.,Dos vendedores toman simultáneamente la misma solicitud.,Solo uno recibe la asignación; el otro obtiene no disponible.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-VND-006,TST-VND-006,P0,conversion-requests,Asignar a los 4m50s,ConversionDeadlinePolicy,conversion_requests.expires_at inmutable; assignment no modifica deadline,API-E2E + PG,apps/api/test/postgres/rules/vnd/lot-vnd-006.pg-spec.ts,[LOT-VND-006] Tomar la solicitud a los 4 minutos 50 segundos.,Tomar la solicitud a los 4 minutos 50 segundos.,Solo quedan 10 segundos; no se extiende el vencimiento.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-VND-007,TST-VND-007,P0,conversion-requests,Command: CompleteByVendor con fallo inyectado,VendorConversionCompletionService,"request, wallets/cuentas, ledger, vendor_sales y allocations en una transacción",PG-INTEGRATION,apps/api/test/postgres/rules/vnd/lot-vnd-007.pg-spec.ts,[LOT-VND-007] Forzar error después del primer asiento.,Forzar error después del primer asiento.,Toda la operación revierte; no queda transferencia parcial.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-VND-008,TST-VND-008,P0,conversion-requests,Command: ReleaseVendorAssignment,ConversionAssignmentService,"conversion_assignments, conversion_request_events y request vuelve a PENDIENTE sin liberar REAL",API-E2E + PG,apps/api/test/postgres/rules/vnd/lot-vnd-008.pg-spec.ts,[LOT-VND-008] Cancelar una asignación vigente.,Cancelar una asignación vigente.,Otro vendedor puede tomarla y el saldo del cliente continúa reservado.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-VND-009,TST-VND-009,P0,conversion-requests,Job: conversion-request-expire-or-fallback,ConversionFallbackJob,"scheduled_jobs, conversion_requests, GENERAL_CONVERSION_WALLET y ledger",WORKER-PG,apps/worker/test/rules/vnd/lot-vnd-009.e2e-spec.ts,[LOT-VND-009] Dejar vencer una solicitud sin vendedor.,Dejar vencer una solicitud sin vendedor.,"Se acredita VIRTUAL al cliente, REAL a plataforma y estado COMPLETADA_POR_PLATAFORMA.",DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-VND-010,TST-VND-010,P0,conversion-requests,Carrera CompleteByVendor vs fallback + falta de liquidez,ConversionFinalizationService,"lock/estado terminal único, completion ledger UQ y liberación REAL por fallo",PG-CONCURRENCY + WORKER,apps/worker/test/rules/vnd/lot-vnd-010.e2e-spec.ts,[LOT-VND-010] Ejecutar ambos procesos simultáneamente y luego simular wallet general insuficiente.,Ejecutar ambos procesos simultáneamente y luego simular wallet general insuficiente.,En la carrera solo uno confirma; en falta de liquidez no queda saldo bloqueado y se genera alerta.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-EVT-001,TST-EVT-001,P0,combinations / purchases,Dos ConfirmOfficialPurchase para la misma combinación,PurchaseConfirmationService,"UNIQUE(draw_event_id,normalized_key) en event_combinations y tickets",PG-CONCURRENCY,apps/api/test/postgres/concurrency/lot-evt-001.pg-spec.ts,[LOT-EVT-001] Dos compras simultáneas de la misma combinación en un evento y otra compra en evento diferente.,Dos compras simultáneas de la misma combinación en un evento y otra compra en evento diferente.,En el mismo evento solo una confirma; en el otro evento puede venderse.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-EVT-002,TST-EVT-002,P0,lottery-products,Command: CreateDrawEvent con producto inválido,DrawEventCreationService,lottery_products y FK de draw_events/rule_versions,API-E2E + PG,apps/api/test/postgres/rules/evt/lot-evt-002.pg-spec.ts,[LOT-EVT-002] Crear evento con producto inexistente.,Crear evento con producto inexistente.,Solo se aceptan productos registrados y compatibles.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-EVT-003,TST-EVT-003,P0,game-engine,ValidateOfficialSelection,OfficialCombinationValidator,"rule_versions(selection_count,universe_symbols) y combination_numbers",UNIT-GAME + PG,packages/game-engine/src/__tests__/rules/lot-evt-003.spec.ts,"[LOT-EVT-003] Enviar selecciones cortas, largas, repetidas y fuera de universo.","Enviar selecciones cortas, largas, repetidas y fuera de universo.",Todas se rechazan; solo la selección exacta y única es válida.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-EVT-004,TST-EVT-004,P0,game-engine / combinations,NormalizeAndReserveSelection,CombinationNormalizer,normalized_key canónico + UNIQUE por evento,UNIT-GAME + PG-CONCURRENCY,packages/game-engine/src/__tests__/rules/lot-evt-004.spec.ts,[LOT-EVT-004] Comprar 7-4-2-0 y luego 0-2-4-7 en el mismo evento.,Comprar 7-4-2-0 y luego 0-2-4-7 en el mismo evento.,Ambas producen la misma clave; solo una puede confirmarse.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-EVT-005,TST-EVT-005,P0,combinations,Transición VENDIDA→DISPONIBLE no autorizada,CombinationStateService,"combination_status, history y trigger/guardia de transición",PG-INTEGRATION,apps/api/test/postgres/rules/evt/lot-evt-005.pg-spec.ts,[LOT-EVT-005] Intentar pasar de VENDIDA a DISPONIBLE sin reembolso/corrección autorizada.,Intentar pasar de VENDIDA a DISPONIBLE sin reembolso/corrección autorizada.,La transición inválida se rechaza y queda auditada.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-EVT-006,TST-EVT-006,P1,draw-events,Query: ListPurchasableEvents,DrawEventQueryService,draw_events por producto/estado/ventana e índice compuesto,API-E2E + PG,apps/api/test/postgres/rules/evt/lot-evt-006.pg-spec.ts,[LOT-EVT-006] Crear varios eventos activos del mismo producto.,Crear varios eventos activos del mismo producto.,Todos aparecen ordenados y cada uno conserva su propia apertura/cierre.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-EVT-007,TST-EVT-007,P0,draw-events,Command: UpdatePublishedDrawEvent,DrawEventMutationPolicy,draw_events/event_financial_configs inmutables tras publicación,API-E2E + PG,apps/api/test/postgres/rules/evt/lot-evt-007.pg-spec.ts,[LOT-EVT-007] Intentar cambiar precio y fecha después de publicar.,Intentar cambiar precio y fecha después de publicar.,La edición se rechaza y el evento permanece sin cambios.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-EVT-008,TST-EVT-008,P0,event-templates,Command: UpdateEventTemplate,EventTemplateVersionService,event_templates/template_schedules; eventos publicados no se actualizan,API-E2E + PG,apps/api/test/postgres/rules/evt/lot-evt-008.pg-spec.ts,[LOT-EVT-008] Modificar plantilla con eventos ya publicados.,Modificar plantilla con eventos ya publicados.,Los publicados no cambian; solo los futuros elegibles usan la nueva versión.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-EVT-009,TST-EVT-009,P0,draw-events / funds,Command: PublishDrawEvent sin cobertura,DrawEventPublicationService,guarantee_fund_reservations y draw_events en una transacción,API-E2E + PG,apps/api/test/postgres/rules/evt/lot-evt-009.pg-spec.ts,[LOT-EVT-009] Publicar con cobertura insuficiente.,Publicar con cobertura insuficiente.,La publicación falla y no se abren ventas.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-EVT-010,TST-EVT-010,P0,draw-events / purchases,Confirmar un segundo antes/después del cierre,OfficialSalesWindowPolicy,draw_events.sales_close_at y job event-close-sales,API-E2E + WORKER-PG,apps/worker/test/rules/evt/lot-evt-010.e2e-spec.ts,[LOT-EVT-010] Confirmar compra un segundo antes y un segundo después del cierre.,Confirmar compra un segundo antes y un segundo después del cierre.,La primera puede confirmar si cumple todo; la segunda se rechaza.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-EVT-011,TST-EVT-011,P0,reservations,Reservar cerca del cierre y expirar,CombinationReservationService,"combination_reservations, índice único parcial ACTIVA y expires_at=min(+5m,cierre)",PG-INTEGRATION + WORKER,apps/worker/test/rules/evt/lot-evt-011.e2e-spec.ts,"[LOT-EVT-011] Reservar con más de cinco minutos restantes, reservar a menos de cinco minutos del cierre y confirmar antes/después de `expires_at`.","Reservar con más de cinco minutos restantes, reservar a menos de cinco minutos del cierre y confirmar antes/después de `expires_at`.",La primera dura cinco minutos; la segunda termina en el cierre; una orden vencida o posterior al cierre no compra y no prolonga ventas.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-EVT-012,TST-EVT-012,P0,purchases / limits,Reservas concurrentes al límite 20 %,ClientEventLimitPolicy,conteo bloqueado de tickets + reservas activas por user/event,PG-CONCURRENCY,apps/api/test/postgres/concurrency/lot-evt-012.pg-spec.ts,[LOT-EVT-012] Alcanzar el límite y tratar de reservar una combinación adicional.,Alcanzar el límite y tratar de reservar una combinación adicional.,La reserva adicional se rechaza hasta la liberación o expiración de reservas.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-EVT-013,TST-EVT-013,P0,game-engine / time,Calcular release_at en fronteras,PurchaseLimitReleaseCalculator,draw_events.limit_release_at y función pura versionada,UNIT-GAME + PG,packages/game-engine/src/__tests__/rules/lot-evt-013.spec.ts,"[LOT-EVT-013] Calcular para 16:05, 16:22, 16:45 y 16:46; además probar ventanas cortas cuyo redondeo cae después del cierre.","Calcular para 16:05, 16:22, 16:45 y 16:46; además probar ventanas cortas cuyo redondeo cae después del cierre.","Produce 16:00, 16:30, 16:30 y 17:00 cuando están dentro de la ventana; nunca adelanta apertura ni extiende el cierre.",DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-EVT-014,TST-EVT-014,P0,purchases / limits,Comprar sobre 20 % después de release_at,ClientEventLimitPolicy,draw_events.limit_release_at; siguen locks/saldo/disponibilidad/cierre,API-E2E + PG,apps/api/test/postgres/rules/evt/lot-evt-014.pg-spec.ts,[LOT-EVT-014] Comprar más del 20 % después de release_at con saldo y combinaciones disponibles.,Comprar más del 20 % después de release_at con saldo y combinaciones disponibles.,La compra puede continuar sin omitir las demás validaciones.,DISEÑADA,PENDIENTE_IMPLEMENTACION
LOT-EVT-015,TST-EVT-015,P0,game-engine / purchases,Probar cuatro modos de selección,PurchaseSelectionService,event_combinations DISPONIBLE y combination_numbers para filtros parciales,UNIT-GAME + API-E2E,packages/game-engine/src/__tests__/rules/lot-evt-015.spec.ts,[LOT-EVT-015] Probar los cuatro modos con restricciones parciales.,Probar los cuatro modos con restricciones parciales.,Cada modo devuelve/reserva combinaciones válidas y distintas.,DISEÑADA,PENDIENTE_IMPLEMENTACION
